Mối hận của ông sếp sau 13 năm 'đầu tư tình cảm' cho bồ nhí	https://i1-vnexpress.vnecdn.net/2023/04/16/u2240p1t1d13724866f21dt2007082-2928-9408-1681627062.jpg?w=220&h=132&q=100&dpr=1&fit=crop&s=rYU2xHl4-RXfP0QVJzmY2w	TRUNG QUỐCSuốt 13 năm, Phó bí thư Thành uỷ Tế Nam Đoạn Dịch Hoà bao bồ nhí kém 30 tuổi có cuộc sống sung túc, nhưng luôn bị ép phải bỏ vợ và bị doạ tiết lộ về cuộc tình.	moi-han-cua-ong-sep-sau-13-nam-dau-tu-tinh-cam-cho-bo-nhi-4593945
Hàng xóm trồng sầu riêng lời 500 triệu khiến gia đình tôi cãi vã	https://i1-vnexpress.vnecdn.net/2023/04/16/saurieng1677221317795316772217-6574-1385-1681629670.jpg?w=220&h=132&q=100&dpr=1&fit=crop&s=7rskndcWxLRhzCICVclRGA	Trăm người bán, vạn người mua là lý do vợ đốc thúc tôi vay tiền đầu tư trồng sầu riêng để bắt kịp hàng xóm.	hang-xom-trong-sau-rieng-loi-500-trieu-khien-gia-dinh-toi-cai-va-4594116
Miền Bắc tuần tới nắng nóng	https://i1-vnexpress.vnecdn.net/2023/04/16/huy-7362-1681639469-6345-1681639476.jpg?w=220&h=132&q=100&dpr=1&fit=crop&s=EHdfDZByi7gHQvRgVvhQKg	Tây Bắc Bộ và Trung Bộ bước vào đợt nắng nóng dự kiến kéo dài cả tuần tới, Hà Nội cùng các tỉnh đồng bằng sông Hồng, Đông Bắc Bộ cao nhất 34 độ C.	mien-bac-tuan-toi-nang-nong-4594161
Cháy chung cư ở Dubai, ít nhất 16 người chết	https://i1-vnexpress.vnecdn.net/2023/04/16/5a32d9962f1b42c6bd9e09a776d2f5-7383-6950-1681646717.jpg?w=220&h=132&q=100&dpr=1&fit=crop&s=emPkKxWSW8Qsc1naX8Dduw	Một tòa nhà chung cư ở thành phố Dubai, Các Tiểu vương quốc Arab Thống nhất, ngày 15/4 bốc cháy, khiến ít nhất 16 người chết và 9 người bị thương.	chay-chung-cu-o-dubai-it-nhat-16-nguoi-chet-4594177
Fitzpatrick mơ vô địch PGA Tour trên sân đấu yêu thích	https://i1-thethao.vnecdn.net/2023/04/16/1681598402250-jpeg-1681646799-7475-1681646810.jpg?w=220&h=132&q=100&dpr=1&fit=crop&s=wcj0KMtGM1aWOaKEaNFjWA	MỸĐKVĐ major US Open Matt Fitzpatrick đang rộng cửa đăng quang RBC Heritage 2023 khi nắm đỉnh bảng -14 ngay nơi anh thích từ bé - Harbour Town Golf Links ở Nam Carolina.	fitzpatrick-mo-vo-dich-pga-tour-tren-san-dau-yeu-thich-4594179
Chủ nhà chống trả 4 kẻ trộm ôtô	data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==	MỸChủ nhà lao tới khống chế tên trộm vừa leo vào xe, kéo hắn ra khỏi ghế lái song thêm 3 tên nữa xuất hiện để bảo vệ đồng phạm.	chu-nha-chong-tra-4-ke-trom-oto-4594175
MV phong cách Ấn Độ của Võ Hạ Trâm gây chú ý	data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==	Nhạc phẩm "Về với em" được Võ Hạ Trâm thực hiện theo phong cách Ấn Độ, đứng đầu top thịnh hành và nhận nhiều lời khen.	mv-phong-cach-an-do-cua-vo-ha-tram-gay-chu-y-4594091
Xe đạp bánh vuông	data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==	Kỹ sư người Ukraine Sergii Gordieiev tháo thay thế bánh xe hình tròn ở xe đạp thông thường bằng bánh xe khung vuông với phần lớn bộ phận tái chế.	xe-dap-banh-vuong-4593324
'Công chúa' nhà Shinawatra đưa gia tộc trở lại chính trường	data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==	Paetongtarn, con gái ông Thaksin, đang đưa gia tộc Shinawatra trở lại chính trường sau 15 năm, khi trở thành ứng viên sáng giá trong cuộc đua ghế thủ tướng Thái Lan.	cong-chua-nha-shinawatra-dua-gia-toc-tro-lai-chinh-truong-4590997
Dấu hiệu cơ thể thiếu kẽm	data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==	Thiếu kẽm có thể khiến tóc rụng, chán ăn, cân nặng giảm, cơ thể dễ mắc các bệnh mạn tính và luôn cảm thấy lạnh hơn người bình thường.	dau-hieu-co-the-thieu-kem-4594055
